,2013년01월,,,,2013년02월,,,,2013년03월,,,,2013년04월,,,,2013년05월,,,,2013년06월,,,,2013년07월,,,,2013년08월,,,,2013년09월,,,,2013년10월,,,,2013년11월,,,,2013년12월,,,
행정기관,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수,총인구수,세대수,남자 인구수,여자 인구수
제주특별자치도  ,584045,232399,292406,291639,585231,233083,293063,292168,586149,233714,293568,292581,587153,234350,294123,293030,588001,234807,294503,293498,588618,235239,294753,293865,589622,235826,295300,294322,590450,236362,295728,294722,591341,236867,296180,295161,592199,237498,296622,295577,593004,237959,297098,295906,593806,238465,297504,296302
제주특별자치도 제주시 ,430061,168860,214791,215270,431031,169392,215293,215738,431716,169838,215676,216040,432613,170317,216219,216394,433397,170659,216570,216827,433920,171008,216780,217140,434735,171439,217209,217526,435396,171847,217541,217855,436093,172244,217902,218191,436812,172698,218293,218519,437515,173026,218687,218828,438165,173370,219029,219136
제주특별자치도 서귀포시 ,153984,63539,77615,76369,154200,63691,77770,76430,154433,63876,77892,76541,154540,64033,77904,76636,154604,64148,77933,76671,154698,64231,77973,76725,154887,64387,78091,76796,155054,64515,78187,76867,155248,64623,78278,76970,155387,64800,78329,77058,155489,64933,78411,77078,155641,65095,78475,77166
